time,connected,alive,connectivity_pct,e0_mah,traffic_interval,tree_only
1060.000000,42,42,100.0000,0.2500,1.0000,False
1070.000000,41,41,100.0000,0.2500,1.0000,False
1080.000000,39,41,95.1220,0.2500,1.0000,False
1090.000000,39,41,95.1220,0.2500,1.0000,False
1100.000000,41,41,100.0000,0.2500,1.0000,False
1110.000000,41,41,100.0000,0.2500,1.0000,False
1120.000000,40,40,100.0000,0.2500,1.0000,False
1130.000000,38,40,95.0000,0.2500,1.0000,False
1140.000000,40,40,100.0000,0.2500,1.0000,False
1150.000000,39,39,100.0000,0.2500,1.0000,False
1160.000000,34,38,89.4737,0.2500,1.0000,False
1170.000000,30,37,81.0811,0.2500,1.0000,False
1180.000000,30,37,81.0811,0.2500,1.0000,False
1190.000000,27,36,75.0000,0.2500,1.0000,False
1200.000000,27,36,75.0000,0.2500,1.0000,False
1210.000000,24,35,68.5714,0.2500,1.0000,False
1220.000000,34,34,100.0000,0.2500,1.0000,False
1230.000000,33,34,97.0588,0.2500,1.0000,False
1240.000000,29,33,87.8788,0.2500,1.0000,False
1250.000000,32,33,96.9697,0.2500,1.0000,False
1260.000000,32,32,100.0000,0.2500,1.0000,False
1270.000000,31,32,96.8750,0.2500,1.0000,False
1280.000000,32,32,100.0000,0.2500,1.0000,False
1290.000000,32,32,100.0000,0.2500,1.0000,False
1300.000000,32,32,100.0000,0.2500,1.0000,False
1310.000000,32,32,100.0000,0.2500,1.0000,False
1320.000000,31,31,100.0000,0.2500,1.0000,False
1330.000000,25,31,80.6452,0.2500,1.0000,False
1340.000000,14,30,46.6667,0.2500,1.0000,False
1350.000000,6,30,20.0000,0.2500,1.0000,False
1360.000000,23,30,76.6667,0.2500,1.0000,False
1370.000000,23,30,76.6667,0.2500,1.0000,False
1380.000000,21,29,72.4138,0.2500,1.0000,False
1390.000000,19,28,67.8571,0.2500,1.0000,False
1400.000000,11,28,39.2857,0.2500,1.0000,False
1410.000000,6,28,21.4286,0.2500,1.0000,False
1420.000000,6,28,21.4286,0.2500,1.0000,False
1430.000000,4,27,14.8148,0.2500,1.0000,False
1440.000000,2,27,7.4074,0.2500,1.0000,False
1450.000000,2,27,7.4074,0.2500,1.0000,False
1460.000000,2,27,7.4074,0.2500,1.0000,False
1470.000000,2,27,7.4074,0.2500,1.0000,False
1480.000000,2,27,7.4074,0.2500,1.0000,False
1490.000000,2,27,7.4074,0.2500,1.0000,False
1500.000000,2,27,7.4074,0.2500,1.0000,False
1510.000000,2,27,7.4074,0.2500,1.0000,False
1520.000000,2,27,7.4074,0.2500,1.0000,False
1530.000000,2,27,7.4074,0.2500,1.0000,False
1540.000000,2,27,7.4074,0.2500,1.0000,False
1550.000000,2,27,7.4074,0.2500,1.0000,False
1560.000000,2,27,7.4074,0.2500,1.0000,False
1570.000000,2,27,7.4074,0.2500,1.0000,False
1580.000000,2,27,7.4074,0.2500,1.0000,False
1590.000000,2,27,7.4074,0.2500,1.0000,False
1600.000000,2,27,7.4074,0.2500,1.0000,False
1610.000000,2,27,7.4074,0.2500,1.0000,False
1620.000000,2,27,7.4074,0.2500,1.0000,False
1630.000000,2,27,7.4074,0.2500,1.0000,False
1640.000000,2,27,7.4074,0.2500,1.0000,False
1650.000000,2,27,7.4074,0.2500,1.0000,False
1660.000000,2,27,7.4074,0.2500,1.0000,False
1670.000000,2,26,7.6923,0.2500,1.0000,False
1680.000000,2,26,7.6923,0.2500,1.0000,False
1690.000000,2,26,7.6923,0.2500,1.0000,False
1700.000000,2,26,7.6923,0.2500,1.0000,False
1710.000000,2,26,7.6923,0.2500,1.0000,False
1720.000000,2,26,7.6923,0.2500,1.0000,False
1730.000000,2,26,7.6923,0.2500,1.0000,False
1740.000000,2,26,7.6923,0.2500,1.0000,False
1750.000000,2,25,8.0000,0.2500,1.0000,False
1760.000000,2,25,8.0000,0.2500,1.0000,False
1770.000000,2,25,8.0000,0.2500,1.0000,False
1780.000000,2,25,8.0000,0.2500,1.0000,False
1790.000000,2,25,8.0000,0.2500,1.0000,False
1800.000000,2,25,8.0000,0.2500,1.0000,False
1810.000000,2,25,8.0000,0.2500,1.0000,False
1820.000000,2,25,8.0000,0.2500,1.0000,False
1830.000000,2,25,8.0000,0.2500,1.0000,False
1840.000000,2,25,8.0000,0.2500,1.0000,False
1850.000000,2,25,8.0000,0.2500,1.0000,False
1860.000000,2,25,8.0000,0.2500,1.0000,False
1870.000000,2,25,8.0000,0.2500,1.0000,False
1880.000000,2,25,8.0000,0.2500,1.0000,False
1890.000000,2,25,8.0000,0.2500,1.0000,False
1900.000000,2,25,8.0000,0.2500,1.0000,False
1910.000000,2,25,8.0000,0.2500,1.0000,False
1920.000000,2,25,8.0000,0.2500,1.0000,False
1930.000000,2,25,8.0000,0.2500,1.0000,False
1940.000000,2,25,8.0000,0.2500,1.0000,False
1950.000000,2,25,8.0000,0.2500,1.0000,False
1960.000000,2,25,8.0000,0.2500,1.0000,False
1970.000000,2,25,8.0000,0.2500,1.0000,False
1980.000000,2,25,8.0000,0.2500,1.0000,False
1990.000000,2,25,8.0000,0.2500,1.0000,False
2000.000000,2,25,8.0000,0.2500,1.0000,False
2010.000000,2,24,8.3333,0.2500,1.0000,False
2020.000000,2,24,8.3333,0.2500,1.0000,False
2030.000000,2,24,8.3333,0.2500,1.0000,False
2040.000000,2,24,8.3333,0.2500,1.0000,False
2050.000000,2,24,8.3333,0.2500,1.0000,False
2060.000000,2,24,8.3333,0.2500,1.0000,False
2070.000000,2,24,8.3333,0.2500,1.0000,False
2080.000000,2,24,8.3333,0.2500,1.0000,False
2090.000000,2,24,8.3333,0.2500,1.0000,False
2100.000000,1,23,4.3478,0.2500,1.0000,False
2110.000000,1,23,4.3478,0.2500,1.0000,False
2120.000000,1,23,4.3478,0.2500,1.0000,False
2130.000000,1,23,4.3478,0.2500,1.0000,False
2140.000000,1,23,4.3478,0.2500,1.0000,False
2150.000000,1,23,4.3478,0.2500,1.0000,False
2160.000000,1,23,4.3478,0.2500,1.0000,False
2170.000000,1,23,4.3478,0.2500,1.0000,False
2180.000000,1,23,4.3478,0.2500,1.0000,False
2190.000000,1,23,4.3478,0.2500,1.0000,False
2200.000000,1,23,4.3478,0.2500,1.0000,False
2210.000000,1,23,4.3478,0.2500,1.0000,False
2220.000000,1,23,4.3478,0.2500,1.0000,False
2230.000000,1,23,4.3478,0.2500,1.0000,False
2240.000000,1,23,4.3478,0.2500,1.0000,False
2250.000000,1,23,4.3478,0.2500,1.0000,False
2260.000000,1,23,4.3478,0.2500,1.0000,False
2270.000000,1,23,4.3478,0.2500,1.0000,False
2280.000000,1,23,4.3478,0.2500,1.0000,False
2290.000000,1,23,4.3478,0.2500,1.0000,False
2300.000000,1,22,4.5455,0.2500,1.0000,False
2310.000000,1,22,4.5455,0.2500,1.0000,False
2320.000000,1,22,4.5455,0.2500,1.0000,False
2330.000000,1,22,4.5455,0.2500,1.0000,False
2340.000000,1,22,4.5455,0.2500,1.0000,False
2350.000000,1,22,4.5455,0.2500,1.0000,False
2360.000000,1,22,4.5455,0.2500,1.0000,False
2370.000000,1,22,4.5455,0.2500,1.0000,False
2380.000000,1,22,4.5455,0.2500,1.0000,False
2390.000000,1,22,4.5455,0.2500,1.0000,False
2400.000000,1,22,4.5455,0.2500,1.0000,False
2410.000000,1,21,4.7619,0.2500,1.0000,False
2420.000000,1,21,4.7619,0.2500,1.0000,False
2430.000000,1,21,4.7619,0.2500,1.0000,False
2440.000000,1,21,4.7619,0.2500,1.0000,False
2450.000000,1,21,4.7619,0.2500,1.0000,False
2460.000000,1,20,5.0000,0.2500,1.0000,False
2470.000000,1,20,5.0000,0.2500,1.0000,False
2480.000000,1,20,5.0000,0.2500,1.0000,False
2490.000000,1,20,5.0000,0.2500,1.0000,False
2500.000000,1,20,5.0000,0.2500,1.0000,False
2510.000000,1,20,5.0000,0.2500,1.0000,False
2520.000000,1,20,5.0000,0.2500,1.0000,False
2530.000000,1,20,5.0000,0.2500,1.0000,False
2540.000000,1,20,5.0000,0.2500,1.0000,False
2550.000000,1,20,5.0000,0.2500,1.0000,False
2560.000000,1,20,5.0000,0.2500,1.0000,False
2570.000000,1,20,5.0000,0.2500,1.0000,False
2580.000000,1,20,5.0000,0.2500,1.0000,False
2590.000000,1,20,5.0000,0.2500,1.0000,False
2600.000000,1,20,5.0000,0.2500,1.0000,False
2610.000000,1,19,5.2632,0.2500,1.0000,False
2620.000000,1,19,5.2632,0.2500,1.0000,False
2630.000000,1,19,5.2632,0.2500,1.0000,False
2640.000000,1,19,5.2632,0.2500,1.0000,False
2650.000000,1,18,5.5556,0.2500,1.0000,False
2660.000000,1,18,5.5556,0.2500,1.0000,False
2670.000000,1,18,5.5556,0.2500,1.0000,False
2680.000000,1,18,5.5556,0.2500,1.0000,False
2690.000000,1,18,5.5556,0.2500,1.0000,False
2700.000000,1,18,5.5556,0.2500,1.0000,False
2710.000000,1,18,5.5556,0.2500,1.0000,False
2720.000000,1,18,5.5556,0.2500,1.0000,False
2730.000000,1,18,5.5556,0.2500,1.0000,False
2740.000000,1,18,5.5556,0.2500,1.0000,False
2750.000000,1,17,5.8824,0.2500,1.0000,False
2760.000000,1,17,5.8824,0.2500,1.0000,False
2770.000000,1,17,5.8824,0.2500,1.0000,False
2780.000000,1,17,5.8824,0.2500,1.0000,False
2790.000000,1,17,5.8824,0.2500,1.0000,False
2800.000000,1,17,5.8824,0.2500,1.0000,False
2810.000000,1,17,5.8824,0.2500,1.0000,False
2820.000000,1,17,5.8824,0.2500,1.0000,False
2830.000000,1,17,5.8824,0.2500,1.0000,False
2840.000000,1,17,5.8824,0.2500,1.0000,False
2850.000000,1,17,5.8824,0.2500,1.0000,False
2860.000000,1,17,5.8824,0.2500,1.0000,False
2870.000000,1,17,5.8824,0.2500,1.0000,False
2880.000000,1,17,5.8824,0.2500,1.0000,False
2890.000000,1,17,5.8824,0.2500,1.0000,False
2900.000000,1,17,5.8824,0.2500,1.0000,False
2910.000000,1,17,5.8824,0.2500,1.0000,False
2920.000000,1,17,5.8824,0.2500,1.0000,False
2930.000000,1,17,5.8824,0.2500,1.0000,False
2940.000000,1,17,5.8824,0.2500,1.0000,False
2950.000000,1,17,5.8824,0.2500,1.0000,False
2960.000000,1,17,5.8824,0.2500,1.0000,False
2970.000000,1,17,5.8824,0.2500,1.0000,False
2980.000000,1,17,5.8824,0.2500,1.0000,False
2990.000000,1,17,5.8824,0.2500,1.0000,False
3000.000000,1,17,5.8824,0.2500,1.0000,False
3010.000000,1,16,6.2500,0.2500,1.0000,False
3020.000000,1,16,6.2500,0.2500,1.0000,False
3030.000000,1,16,6.2500,0.2500,1.0000,False
3040.000000,1,16,6.2500,0.2500,1.0000,False
3050.000000,1,16,6.2500,0.2500,1.0000,False
3060.000000,1,16,6.2500,0.2500,1.0000,False
3070.000000,1,16,6.2500,0.2500,1.0000,False
3080.000000,1,16,6.2500,0.2500,1.0000,False
3090.000000,1,16,6.2500,0.2500,1.0000,False
3100.000000,1,16,6.2500,0.2500,1.0000,False
3110.000000,1,16,6.2500,0.2500,1.0000,False
3120.000000,1,16,6.2500,0.2500,1.0000,False
3130.000000,1,16,6.2500,0.2500,1.0000,False
3140.000000,1,16,6.2500,0.2500,1.0000,False
3150.000000,1,16,6.2500,0.2500,1.0000,False
3160.000000,1,16,6.2500,0.2500,1.0000,False
3170.000000,1,16,6.2500,0.2500,1.0000,False
3180.000000,1,16,6.2500,0.2500,1.0000,False
3190.000000,1,16,6.2500,0.2500,1.0000,False
3200.000000,1,16,6.2500,0.2500,1.0000,False
3210.000000,1,16,6.2500,0.2500,1.0000,False
3220.000000,1,16,6.2500,0.2500,1.0000,False
3230.000000,1,16,6.2500,0.2500,1.0000,False
3240.000000,1,16,6.2500,0.2500,1.0000,False
3250.000000,1,16,6.2500,0.2500,1.0000,False
3260.000000,1,16,6.2500,0.2500,1.0000,False
3270.000000,1,16,6.2500,0.2500,1.0000,False
3280.000000,1,16,6.2500,0.2500,1.0000,False
3290.000000,1,16,6.2500,0.2500,1.0000,False
3300.000000,1,16,6.2500,0.2500,1.0000,False
3310.000000,1,16,6.2500,0.2500,1.0000,False
3320.000000,1,16,6.2500,0.2500,1.0000,False
3330.000000,1,16,6.2500,0.2500,1.0000,False
3340.000000,1,16,6.2500,0.2500,1.0000,False
3350.000000,1,16,6.2500,0.2500,1.0000,False
3360.000000,1,16,6.2500,0.2500,1.0000,False
3370.000000,1,16,6.2500,0.2500,1.0000,False
3380.000000,1,16,6.2500,0.2500,1.0000,False
3390.000000,1,16,6.2500,0.2500,1.0000,False
3400.000000,1,16,6.2500,0.2500,1.0000,False
3410.000000,1,16,6.2500,0.2500,1.0000,False
3420.000000,1,16,6.2500,0.2500,1.0000,False
3430.000000,1,16,6.2500,0.2500,1.0000,False
3440.000000,1,16,6.2500,0.2500,1.0000,False
3450.000000,1,16,6.2500,0.2500,1.0000,False
3460.000000,1,16,6.2500,0.2500,1.0000,False
3470.000000,1,16,6.2500,0.2500,1.0000,False
3480.000000,1,16,6.2500,0.2500,1.0000,False
3490.000000,1,16,6.2500,0.2500,1.0000,False
3500.000000,1,16,6.2500,0.2500,1.0000,False
3510.000000,1,16,6.2500,0.2500,1.0000,False
3520.000000,1,16,6.2500,0.2500,1.0000,False
3530.000000,1,15,6.6667,0.2500,1.0000,False
3540.000000,1,14,7.1429,0.2500,1.0000,False
3550.000000,1,14,7.1429,0.2500,1.0000,False
3560.000000,1,14,7.1429,0.2500,1.0000,False
3570.000000,1,14,7.1429,0.2500,1.0000,False
3580.000000,1,13,7.6923,0.2500,1.0000,False
3590.000000,1,13,7.6923,0.2500,1.0000,False
3600.000000,1,13,7.6923,0.2500,1.0000,False
3610.000000,1,13,7.6923,0.2500,1.0000,False
