source_id,target_id,distance
0,1,110.779486
0,2,183.586478
0,3,248.182927
0,4,294.072751
0,5,362.375234
0,6,451.925380
0,7,512.342446
0,8,59.243935
0,9,115.650724
0,10,197.972746
0,11,246.731242
0,12,312.634579
0,13,413.020890
0,14,480.610432
0,15,533.305262
0,16,143.557339
0,17,182.753324
0,18,220.121227
0,19,287.336697
0,20,335.774326
0,21,408.505505
0,22,504.392433
0,23,583.458919
0,24,214.636803
0,25,226.105658
0,26,263.282783
0,27,313.277146
0,28,406.289066
0,29,462.418823
0,30,508.848561
0,31,599.917982
0,32,287.853567
0,33,279.926589
0,34,344.065085
0,35,361.313344
0,36,433.630325
0,37,506.562155
0,38,566.611054
0,39,641.678223
0,40,340.172566
0,41,374.062266
0,42,406.832265
0,43,413.920596
0,44,476.759225
0,45,570.770400
0,46,586.528938
0,47,694.723766
0,48,432.002572
0,49,441.001330
1,2,81.940530
1,3,141.523825
1,4,192.162233
1,5,257.709045
1,6,348.234743
1,7,410.568708
1,8,145.433159
1,9,77.612559
1,10,134.242024
1,11,169.690883
1,12,226.924282
1,13,323.988248
1,14,390.509021
1,15,440.639456
1,16,197.470328
1,17,178.859070
1,18,173.202870
1,19,239.200871
1,20,263.534052
1,21,332.250504
1,22,424.335051
1,23,498.703912
1,24,260.075191
1,25,252.491235
1,26,254.277371
1,27,275.315482
1,28,349.585509
1,29,403.931317
1,30,435.581947
1,31,527.522824
1,32,327.280127
1,33,301.810059
1,34,341.512132
1,35,339.439277
1,36,397.901363
1,37,455.536449
1,38,510.565646
1,39,573.271485
1,40,384.469946
1,41,394.914484
1,42,404.048122
1,43,400.022005
1,44,449.852677
1,45,528.342462
1,46,535.577291
1,47,637.909676
1,48,472.663295
1,49,466.615943
2,3,65.836016
2,4,111.268700
2,5,178.830678
2,6,268.714682
2,7,330.085466
2,8,201.531316
2,9,92.482866
2,10,84.308558
2,11,98.956282
2,12,147.602983
2,13,242.680461
2,14,308.850331
2,15,358.719287
2,16,224.888755
2,17,169.455457
2,18,128.859250
2,19,183.983595
2,20,190.106461
2,21,255.153933
2,22,344.924067
2,23,417.761865
2,24,272.854385
2,25,252.394182
2,26,227.510309
2,27,224.542613
2,28,282.428616
2,29,334.426282
2,30,358.556424
2,31,450.185601
2,32,329.545501
2,33,293.151401
2,34,311.776021
2,35,295.902460
2,36,342.284988
2,37,389.169242
2,38,440.692438
2,39,497.213071
2,40,386.844379
2,41,379.198229
2,42,370.741200
2,43,359.064348
2,44,398.342171
2,45,465.611872
2,46,468.043940
2,47,566.486272
2,48,468.479033
2,49,451.328844
3,4,55.601406
3,5,116.361591
3,6,206.977953
3,7,269.950065
3,8,267.251915
3,9,156.262729
3,10,120.400665
3,11,103.060582
3,12,118.695570
3,13,198.604200
3,14,261.001214
3,15,307.178237
3,16,285.292274
3,17,218.222607
3,18,159.351685
3,19,195.553669
3,20,172.960186
3,21,225.459205
3,22,306.310455
3,23,372.726344
3,24,326.816547
3,25,301.121007
3,26,261.410289
3,27,237.474900
3,28,270.754999
3,29,317.059383
3,30,326.056574
3,31,415.539655
3,32,377.082790
3,33,335.708693
3,34,339.228122
3,35,312.027696
3,36,343.753962
3,37,375.205952
3,38,420.295607
3,39,464.850780
3,40,433.211863
3,41,414.785781
3,42,393.322258
3,43,375.247422
3,44,402.791095
3,45,455.166446
