seq_no,packet_type,origin_uid,dst_addr,final_uid,created_time,delivered_time,delay,hop_count,path
3360,DATA,74,"[1,254]",18,115.521837,115.522591,0.000754,9,74->73->63->54->43->34->35->26->17->18
3361,DATA,12,"[1,254]",18,115.525606,115.526172,0.000565,7,12->22->33->34->35->26->17->18
3362,DATA,22,"[1,254]",18,115.569001,115.569496,0.000495,6,22->33->34->35->26->17->18
709,DATA,69,"[1,254]",18,115.576722,115.577221,0.000499,6,69->68->57->47->38->27->18
3363,DATA,72,"[1,254]",18,115.581592,115.582335,0.000743,9,72->73->63->54->43->34->35->26->17->18
3364,DATA,1,"[1,254]",18,115.585289,115.586057,0.000768,9,1->10->11->22->33->34->35->26->17->18
3365,DATA,0,"[1,254]",18,115.588795,115.589566,0.000771,9,0->10->11->22->33->34->35->26->17->18
337,DATA,8,"[1,254]",18,115.612778,115.612850,0.000072,1,8->18
3366,DATA,20,"[1,254]",18,115.631676,115.632455,0.000779,9,20->10->11->22->33->34->35->26->17->18
3368,DATA,61,"[1,254]",18,115.650558,115.651520,0.000962,11,61->60->50->41->32->22->33->34->35->26->17->18
710,DATA,45,"[1,254]",18,115.671939,115.672429,0.000491,6,45->46->57->47->38->27->18
3369,DATA,10,"[1,254]",18,115.684367,115.685051,0.000685,8,10->11->22->33->34->35->26->17->18
3370,DATA,12,"[1,254]",18,115.684786,115.685351,0.000565,7,12->22->33->34->35->26->17->18
3373,DATA,4,"[1,254]",18,115.696687,115.697208,0.000522,7,4->14->24->34->35->26->17->18
3374,DATA,41,"[1,254]",18,115.700775,115.701463,0.000688,8,41->32->22->33->34->35->26->17->18
3375,DATA,20,"[1,254]",18,115.706158,115.706937,0.000779,9,20->10->11->22->33->34->35->26->17->18
3376,DATA,86,"[1,254]",18,115.730779,115.731596,0.000817,10,86->75->65->64->54->43->34->35->26->17->18
3377,DATA,2,"[1,254]",18,115.738318,115.738957,0.000639,8,2->12->22->33->34->35->26->17->18
3378,DATA,60,"[1,254]",18,115.745301,115.746168,0.000867,10,60->50->41->32->22->33->34->35->26->17->18
3379,DATA,41,"[1,254]",18,115.758663,115.759351,0.000688,8,41->32->22->33->34->35->26->17->18
