node_id,role,addr,ch_addr,battery_pct,downstream_ch_addr,neighbors,members,child_networks
13,REGISTERED,5.3,,90.33,,"[('7.3', 'REGISTERED', 1), ('3.5', 'ROUTER', 1), ('3.3', 'ROUTER', 1), ('7.254', '?', 2), ('6.2', '?', 2), ('7.2', '?', 2), ('6.254', 'CLUSTER_HEAD', 1), ('5.254', 'CLUSTER_HEAD', 1), ('5.2', 'ROUTER', 1), ('1.6', '?', 2), ('3.254', '?', 2), ('3.4', '?', 2), ('8.254', '?', 2), ('6.3', 'REGISTERED', 1), ('1.7', '?', 2), ('5.4', '?', 2), ('5.5', '?', 2), ('12.254', '?', 2)]",[],[]
14,ROUTER,5.2,,84.17,6.254,"[('3.5', '?', 2), ('5.254', 'CLUSTER_HEAD', 1), ('6.254', 'CLUSTER_HEAD', 1), ('6.2', '?', 2), ('7.3', '?', 2), ('1.6', '?', 2), ('6.3', 'REGISTERED', 1), ('5.3', 'REGISTERED', 1), ('3.3', '?', 2), ('1.7', '?', 2), ('5.4', 'ROUTER', 1), ('5.5', 'REGISTERED', 1), ('12.254', 'CLUSTER_HEAD', 1)]",[],[]
15,ROUTER,5.4,,91.55,12.254,"[('6.3', 'REGISTERED', 1), ('6.2', '?', 2), ('6.254', '?', 2), ('5.2', 'ROUTER', 1), ('5.3', '?', 2), ('5.254', 'CLUSTER_HEAD', 1), ('3.5', '?', 2), ('1.6', '?', 2), ('1.7', '?', 2), ('5.5', 'REGISTERED', 1), ('12.254', 'CLUSTER_HEAD', 1)]",[],[]
16,REGISTERED,11.4,,95.60,,"[('9.2', 'ROUTER', 1), ('8.2', '?', 2), ('9.254', 'CLUSTER_HEAD', 1), ('11.254', 'CLUSTER_HEAD', 1), ('11.2', '?', 2), ('7.4', '?', 2), ('9.7', 'REGISTERED', 1), ('11.3', '?', 2), ('9.3', 'REGISTERED', 1), ('9.4', '?', 2), ('9.5', '?', 2), ('9.6', '?', 2)]",[],[]
17,REGISTERED,9.7,,91.89,,"[('8.2', 'ROUTER', 1), ('8.254', '?', 2), ('7.2', '?', 2), ('9.254', 'CLUSTER_HEAD', 1), ('9.2', 'ROUTER', 1), ('7.4', 'REGISTERED', 1), ('9.3', 'REGISTERED', 1), ('9.4', '?', 2), ('9.5', '?', 2), ('9.6', '?', 2), ('11.254', 'CLUSTER_HEAD', 1), ('11.2', '?', 2), ('11.3', '?', 2), ('7.254', '?', 2), ('7.5', '?', 2), ('11.4', 'REGISTERED', 1)]",[],[]
18,ROUTER,8.2,,75.08,9.254,"[('3.3', '?', 2), ('8.254', 'CLUSTER_HEAD', 1), ('7.2', 'REGISTERED', 1), ('6.2', '?', 2), ('7.254', '?', 2), ('9.254', 'CLUSTER_HEAD', 1), ('9.2', 'ROUTER', 1), ('7.3', '?', 2), ('9.3', '?', 2), ('9.4', '?', 2), ('9.5', '?', 2), ('11.2', '?', 2), ('3.6', '?', 2), ('9.6', '?', 2), ('11.254', '?', 2), ('7.4', 'REGISTERED', 1), ('9.7', 'REGISTERED', 1), ('7.5', '?', 2), ('11.4', '?', 2)]",[],[]
19,CLUSTER_HEAD,8.1,8.254,73.76,,"[('3.3', 'ROUTER', 1), ('3.254', '?', 2), ('3.4', '?', 2), ('3.5', '?', 2), ('8.2', 'ROUTER', 1), ('7.2', 'REGISTERED', 1), ('6.2', '?', 2), ('7.254', '?', 2), ('9.2', '?', 2), ('7.3', '?', 2), ('3.6', 'REGISTERED', 1), ('2.3', '?', 2), ('3.2', '?', 2), ('4.3', '?', 2), ('5.3', '?', 2), ('9.6', 'REGISTERED', 1), ('9.5', '?', 2), ('9.254', '?', 2), ('7.4', '?', 2), ('9.7', '?', 2), ('7.5', '?', 2)]","[('8.2', 18)]","[(9, '8.2', 'VALID'), (11, '8.2', 'VALID')]"
20,ROUTER,3.3,,71.20,8.254,"[('2.3', '?', 2), ('3.254', 'CLUSTER_HEAD', 1), ('3.2', '?', 2), ('3.4', 'REGISTERED', 1), ('3.5', 'ROUTER', 1), ('1.4', '?', 2), ('8.254', 'CLUSTER_HEAD', 1), ('8.2', '?', 2), ('7.2', '?', 2), ('7.3', 'REGISTERED', 1), ('7.254', '?', 2), ('6.2', '?', 2), ('6.254', '?', 2), ('1.6', '?', 2), ('3.6', '?', 2), ('5.254', '?', 2), ('5.3', 'REGISTERED', 1), ('5.2', '?', 2), ('6.3', '?', 2), ('9.6', '?', 2)]",[],[]
21,ROUTER,3.5,,72.22,5.254,"[('2.3', '?', 2), ('3.254', 'CLUSTER_HEAD', 1), ('3.3', 'ROUTER', 1), ('3.2', '?', 2), ('3.4', 'REGISTERED', 1), ('5.254', 'CLUSTER_HEAD', 1), ('1.4', '?', 2), ('5.2', '?', 2), ('6.254', '?', 2), ('7.3', 'REGISTERED', 1), ('7.254', '?', 2), ('6.2', '?', 2), ('1.6', '?', 2), ('7.2', '?', 2), ('3.6', '?', 2), ('5.3', 'REGISTERED', 1), ('6.3', '?', 2), ('8.254', '?', 2), ('1.7', '?', 2), ('5.4', '?', 2), ('5.5', '?', 2)]",[],[]
22,CLUSTER_HEAD,5.1,5.254,74.55,,"[('3.5', 'ROUTER', 1), ('3.254', '?', 2), ('3.3', '?', 2), ('3.4', '?', 2), ('5.2', 'ROUTER', 1), ('1.6', 'REGISTERED', 1), ('1.254', '?', 2), ('7.3', '?', 2), ('1.4', '?', 2), ('5.3', 'REGISTERED', 1), ('6.254', '?', 2), ('6.3', '?', 2), ('1.7', 'REGISTERED', 1), ('1.5', '?', 2), ('5.4', 'ROUTER', 1), ('5.5', 'REGISTERED', 1), ('12.254', '?', 2)]","[('5.2', 14), ('5.3', 13), ('5.4', 15), ('5.5', 23)]","[(6, '5.2', 'VALID'), (7, '5.2', 'VALID'), (12, '5.4', 'VALID')]"
